origem,destino,tipo_conexao,justificativa,peso
GIG,GYN,nacional,"conexão entre hub nacional e aeroporto intermediário",1.66
GIG,CWB,nacional,"conexão entre hub nacional e aeroporto intermediário",1.16
GIG,FLN,nacional,"conexão entre hub nacional e aeroporto intermediário",1.58
GIG,POA,nacional,"conexão entre hub nacional e aeroporto intermediário",2.0
GIG,MAO,nacional,"conexão entre hub nacional e aeroporto intermediário",4.0
GIG,BEL,nacional,"conexão entre hub nacional e aeroporto intermediário",3.5
CNF,VIX,regional,"conexão regional sudeste",1.0
CNF,BSB,hub,"conexão entre hub regional e hub nacional",1.33
CNF,GYN,nacional,"conexão entre hub regional e aeroporto intermediário",1.41
CNF,CWB,nacional,"conexão entre hub regional e aeroporto intermediário",1.66
CNF,FLN,nacional,"conexão entre hub regional e aeroporto intermediário",1.91
CNF,POA,nacional,"conexão entre hub regional e aeroporto intermediário",2.25
CNF,MAO,nacional,"conexão entre hub regional e aeroporto intermediário",3.66
CNF,BEL,nacional,"conexão entre hub regional e aeroporto intermediário",3.08
CNF,PVH,nacional,"conexão entre hub regional e aeroporto periférico",3.5
CNF,RBR,nacional,"conexão entre hub regional e aeroporto periférico",4.0
VIX,BSB,hub,"conexão entre aeroporto intermediário e hub nacional",1.83
BSB,GYN,regional,"conexão regional centro-oeste",0.41
BSB,CWB,nacional,"conexão entre hub nacional e aeroporto intermediário",1.91
BSB,FLN,nacional,"conexão entre hub nacional e aeroporto intermediário",2.25
BSB,POA,nacional,"conexão entre hub nacional e aeroporto intermediário",2.58
BSB,MAO,nacional,"conexão entre hub nacional e aeroporto intermediário",3.0
BSB,BEL,nacional,"conexão entre hub nacional e aeroporto intermediário",2.5
BSB,PVH,nacional,"conexão entre hub nacional e aeroporto periférico",2.91
BSB,RBR,nacional,"conexão entre hub nacional e aeroporto periférico",3.33
CWB,POA,regional,"conexão regional sul",1.25
FLN,POA,regional,"conexão regional sul",1.08
MAO,PVH,regional,"conexão regional norte",1.5
MAO,RBR,regional,"conexão regional norte",1.55
