filme1,filme2,qtd_atores_compartilhados,atores_compartilhados,generos_compartilhados,similaridade,peso
Die Hard 2,Pulp Fiction,1,Bruce Willis,Thriller,3,0.333333
"Terminator, The",Terminator 2: Judgment Day,3,Linda Hamilton|Arnold Schwarzenegger|Earl Boen,Action|Sci-Fi,8,0.125
Forrest Gump,Toy Story 3,1,Tom Hanks,Comedy,3,0.333333
Grease,Pulp Fiction,1,John Travolta,Comedy,3,0.333333
"Shawshank Redemption, The",Million Dollar Baby,1,Morgan Freeman,Drama,3,0.333333
"Matrix, The","Matrix Reloaded, The",4,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving,Action|Sci-Fi|Thriller,11,0.090909
Star Wars: Episode V - The Empire Strikes Back,Indiana Jones and the Last Crusade,1,Harrison Ford,Action|Adventure,4,0.25
"Princess Bride, The",Toy Story,1,Wallace Shawn,Adventure|Comedy|Fantasy,5,0.2
Apollo 13,Saving Private Ryan,1,Tom Hanks,Drama,3,0.333333
Star Wars: Episode IV - A New Hope,Apocalypse Now,1,Harrison Ford,Action,3,0.333333
True Romance,Pulp Fiction,1,Samuel L. Jackson,Crime|Thriller,4,0.25
Jurassic Park,"Incredibles, The",1,Samuel L. Jackson,Action|Adventure,4,0.25
Lethal Weapon 2,"Shawshank Redemption, The",1,Mark Rolston,Crime|Drama,4,0.25
"Silence of the Lambs, The","Bourne Ultimatum, The",1,Scott Glenn,Crime|Thriller,4,0.25
"Usual Suspects, The",Inception,1,Pete Postlethwaite,Crime|Mystery|Thriller,5,0.2
Forrest Gump,You've Got Mail,1,Tom Hanks,Comedy|Romance,4,0.25
Star Wars: Episode V - The Empire Strikes Back,Blade Runner,1,Harrison Ford,Action|Sci-Fi,4,0.25
"Shawshank Redemption, The",Phenomenon,1,Jeffrey DeMunn,Drama,3,0.333333
Twelve Monkeys (a.k.a. 12 Monkeys),"Sixth Sense, The",1,Bruce Willis,Mystery,3,0.333333
Pulp Fiction,"Truth About Cats & Dogs, The",1,Uma Thurman,Comedy,3,0.333333
"Shawshank Redemption, The",Deep Impact,1,Morgan Freeman,Drama,3,0.333333
Glory,"Shawshank Redemption, The",1,Morgan Freeman,Drama,3,0.333333
"Shawshank Redemption, The",Mystic River,1,Tim Robbins,Crime|Drama,4,0.25
Star Wars: Episode IV - A New Hope,Indiana Jones and the Temple of Doom,1,Harrison Ford,Action|Adventure,4,0.25
"Silence of the Lambs, The",Shutter Island,1,Ted Levine,Thriller,3,0.333333
"Lord of the Rings: The Fellowship of the Ring, The",Pirates of the Caribbean: The Curse of the Black Pearl,1,Orlando Bloom,Adventure|Fantasy,4,0.25
"Shawshank Redemption, The","X-Files: Fight the Future, The",1,Jeffrey DeMunn,Crime,3,0.333333
Star Wars: Episode VI - Return of the Jedi,Indiana Jones and the Last Crusade,1,Harrison Ford,Action|Adventure,4,0.25
Splash,Forrest Gump,1,Tom Hanks,Comedy|Romance,4,0.25
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),Indiana Jones and the Last Crusade,3,Harrison Ford|Denholm Elliott|John Rhys-Davies,Action|Adventure,8,0.125
Pulp Fiction,Jackie Brown,1,Samuel L. Jackson,Crime|Drama|Thriller,5,0.2
Pulp Fiction,Phenomenon,1,John Travolta,Drama,3,0.333333
Field of Dreams,Pulp Fiction,1,Frank Whaley,Drama,3,0.333333
Star Wars: Episode V - The Empire Strikes Back,"Monsters, Inc.",1,Frank Oz,Adventure,3,0.333333
Toy Story,"Monsters, Inc.",1,John Ratzenberger,Adventure|Animation|Children|Comedy|Fantasy,7,0.142857
Blade Runner,Star Wars: Episode VI - Return of the Jedi,1,Harrison Ford,Action|Sci-Fi,4,0.25
Pulp Fiction,Iron Man 2,1,Samuel L. Jackson,Thriller,3,0.333333
"League of Their Own, A",Forrest Gump,1,Tom Hanks,Comedy|Drama,4,0.25
Forrest Gump,"Terminal, The",1,Tom Hanks,Comedy|Drama|Romance,5,0.2
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),Blade Runner,1,Harrison Ford,Action,3,0.333333
Pulp Fiction,Rob Roy,1,Tim Roth,Drama,3,0.333333
Forrest Gump,"Da Vinci Code, The",1,Tom Hanks,Drama,3,0.333333
So I Married an Axe Murderer,Pulp Fiction,1,Amanda Plummer,Comedy|Thriller,4,0.25
Forrest Gump,Road to Perdition,1,Tom Hanks,Drama,3,0.333333
Pulp Fiction,"Time to Kill, A",1,Samuel L. Jackson,Drama|Thriller,4,0.25
"Fugitive, The",Memento,1,Joe Pantoliano,Thriller,3,0.333333
"Matrix, The","Matrix Revolutions, The",4,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving,Action|Sci-Fi|Thriller,11,0.090909
Fight Club,Ocean's Eleven,1,Brad Pitt,Crime|Thriller,4,0.25
Dances with Wolves,Independence Day (a.k.a. ID4),1,Mary McDonnell,Adventure,3,0.333333
"Shawshank Redemption, The",Lucky Number Slevin,1,Morgan Freeman,Crime|Drama,4,0.25
True Lies,Apollo 13,1,Bill Paxton,Adventure,3,0.333333
American History X,Fight Club,1,Edward Norton,Crime|Drama,4,0.25
Forrest Gump,"Girl with the Dragon Tattoo, The",1,Robin Wright,Drama,3,0.333333
Driving Miss Daisy,"Shawshank Redemption, The",1,Morgan Freeman,Drama,3,0.333333
Pulp Fiction,Looper,1,Bruce Willis,Crime,3,0.333333
Robin Hood: Prince of Thieves,"Shawshank Redemption, The",1,Morgan Freeman,Drama,3,0.333333
Pulp Fiction,Batman & Robin,1,Uma Thurman,Thriller,3,0.333333
Star Wars: Episode VI - Return of the Jedi,"Monsters, Inc.",1,Frank Oz,Adventure,3,0.333333
Ghostbusters (a.k.a. Ghost Busters),Toy Story,1,Annie Potts,Comedy,3,0.333333
Pulp Fiction,Kingsman: The Secret Service,1,Samuel L. Jackson,Comedy|Crime,4,0.25
Forrest Gump,That Thing You Do!,1,Tom Hanks,Comedy|Drama,4,0.25
Independence Day (a.k.a. ID4),Men in Black (a.k.a. MIB),1,Will Smith,Action|Sci-Fi,4,0.25
Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode I - The Phantom Menace,1,Anthony Daniels,Action|Adventure|Sci-Fi,5,0.2
Aliens,Terminator 2: Judgment Day,1,Jenette Goldstein,Action|Sci-Fi,4,0.25
I.Q.,Pulp Fiction,1,Frank Whaley,Comedy,3,0.333333
Carrie,Pulp Fiction,1,John Travolta,Drama|Thriller,4,0.25
"Silence of the Lambs, The","Client, The",1,Anthony Heald,Thriller,3,0.333333
"Player, The","Shawshank Redemption, The",1,Tim Robbins,Crime|Drama,4,0.25
Patriot Games,Pulp Fiction,1,Samuel L. Jackson,Crime|Drama|Thriller,5,0.2
Pulp Fiction,Lucky Number Slevin,1,Bruce Willis,Crime|Drama,4,0.25
Pulp Fiction,"Negotiator, The",1,Samuel L. Jackson,Crime|Drama|Thriller,5,0.2
"Silence of the Lambs, The","Cable Guy, The",1,Diane Baker,Thriller,3,0.333333
Pulp Fiction,Captain America: The First Avenger,1,Samuel L. Jackson,Thriller,3,0.333333
"Lord of the Rings: The Two Towers, The",Pirates of the Caribbean: The Curse of the Black Pearl,1,Orlando Bloom,Adventure|Fantasy,4,0.25
"Lord of the Rings: The Fellowship of the Ring, The",X-Men,1,Ian McKellen,Adventure,3,0.333333
"Shawshank Redemption, The",Now You See Me,1,Morgan Freeman,Crime,3,0.333333
Dolores Claiborne,"Shawshank Redemption, The",1,Bob Gunton,Drama,3,0.333333
Bull Durham,"Shawshank Redemption, The",1,Tim Robbins,Drama,3,0.333333
Pulp Fiction,Beavis and Butt-Head Do America,1,Bruce Willis,Comedy|Crime,4,0.25
Forrest Gump,Moneyball,1,Robin Wright,Drama,3,0.333333
"Lord of the Rings: The Return of the King, The",Pirates of the Caribbean: The Curse of the Black Pearl,1,Orlando Bloom,Action|Adventure|Fantasy,5,0.2
"Shawshank Redemption, The",Patch Adams,1,Bob Gunton,Drama,3,0.333333
Braveheart,Trainspotting,1,James Cosmo,Drama,3,0.333333
Toy Story,"Incredibles, The",1,Wallace Shawn,Adventure|Animation|Children|Comedy,6,0.166667
Pulp Fiction,"Long Kiss Goodnight, The",1,Samuel L. Jackson,Drama|Thriller,4,0.25
Pulp Fiction,Moonrise Kingdom,1,Bruce Willis,Comedy|Drama,4,0.25
Star Wars: Episode IV - A New Hope,Star Wars: Episode III - Revenge of the Sith,1,Anthony Daniels,Action|Adventure|Sci-Fi,5,0.2
Forrest Gump,Cloud Atlas,1,Tom Hanks,Drama,3,0.333333
Pulp Fiction,"Whole Nine Yards, The",1,Bruce Willis,Comedy|Crime,4,0.25
Pulp Fiction,Deep Blue Sea,1,Samuel L. Jackson,Thriller,3,0.333333
"Doors, The",Pulp Fiction,1,Frank Whaley,Drama,3,0.333333
Pulp Fiction,Swordfish,1,John Travolta,Crime|Drama,4,0.25
Dangerous Liaisons,Pulp Fiction,1,Uma Thurman,Drama,3,0.333333
Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode I - The Phantom Menace,2,Anthony Daniels|Ian McDiarmid,Action|Adventure|Sci-Fi,7,0.142857
"Godfather, The","Godfather: Part II, The",3,Al Pacino|Robert Duvall|Diane Keaton,Crime|Drama,8,0.125
Short Cuts,"Shawshank Redemption, The",1,Tim Robbins,Drama,3,0.333333
RoboCop 2,"Shawshank Redemption, The",1,Mark Rolston,Crime,3,0.333333
Interview with the Vampire: The Vampire Chronicles,Fight Club,1,Brad Pitt,Drama,3,0.333333
Pulp Fiction,Live Free or Die Hard,1,Bruce Willis,Crime|Thriller,4,0.25
Blade Runner,"Fugitive, The",1,Harrison Ford,Thriller,3,0.333333
"Hunt for Red October, The",Jurassic Park,1,Sam Neill,Action|Adventure|Thriller,5,0.2
Forrest Gump,Captain Phillips,1,Tom Hanks,Drama,3,0.333333
The Devil's Advocate,"Matrix, The",1,Keanu Reeves,Thriller,3,0.333333
"Shawshank Redemption, The",Amistad,1,Morgan Freeman,Drama,3,0.333333
"Shawshank Redemption, The",Gone Baby Gone,1,Morgan Freeman,Crime|Drama,4,0.25
"Shawshank Redemption, The",Nurse Betty,1,Morgan Freeman,Crime|Drama,4,0.25
"Shawshank Redemption, The",Kiss the Girls,1,Morgan Freeman,Crime|Drama,4,0.25
Pulp Fiction,The Hateful Eight,2,Samuel L. Jackson|Tim Roth,,4,0.25
Pulp Fiction,Sphere,1,Samuel L. Jackson,Thriller,3,0.333333
"Shawshank Redemption, The","Hurricane, The",1,Clancy Brown,Drama,3,0.333333
Good Will Hunting,Saving Private Ryan,1,Matt Damon,Drama,3,0.333333
Pulp Fiction,xXx,1,Samuel L. Jackson,Crime|Thriller,4,0.25
Forrest Gump,Angels & Demons,1,Tom Hanks,Drama,3,0.333333
"Shawshank Redemption, The","Bucket List, The",1,Morgan Freeman,Drama,3,0.333333
"Shawshank Redemption, The","Sum of All Fears, The",1,Morgan Freeman,Drama,3,0.333333
Sleepless in Seattle,Toy Story,1,Tom Hanks,Comedy,3,0.333333
Pulp Fiction,Michael,1,John Travolta,Comedy|Drama,4,0.25
Forrest Gump,Bridge of Spies,1,Tom Hanks,Drama,3,0.333333
"Shawshank Redemption, The","Mist, The",2,William Sadler|Jeffrey DeMunn,,4,0.25
"Silence of the Lambs, The",Training Day,1,Scott Glenn,Crime|Thriller,4,0.25
Jurassic Park,Star Wars: Episode II - Attack of the Clones,1,Samuel L. Jackson,Action|Adventure|Sci-Fi,5,0.2
"Money Pit, The",Forrest Gump,1,Tom Hanks,Comedy,3,0.333333
Star Wars: Episode V - The Empire Strikes Back,Clear and Present Danger,1,Harrison Ford,Action,3,0.333333
Pulp Fiction,"General's Daughter, The",1,John Travolta,Crime|Drama|Thriller,5,0.2
Homeward Bound: The Incredible Journey,Forrest Gump,1,Sally Field,Drama,3,0.333333
"Lion King, The",Shrek,1,Jim Cummings,Adventure|Animation|Children,5,0.2
Pulp Fiction,Four Rooms,1,Tim Roth,Comedy,3,0.333333
Toys,Forrest Gump,1,Robin Wright,Comedy,3,0.333333
Pulp Fiction,Red,1,Bruce Willis,Comedy,3,0.333333
Jurassic Park,Django Unchained,1,Samuel L. Jackson,Action,3,0.333333
Johnny Mnemonic,"Matrix, The",1,Keanu Reeves,Action|Sci-Fi|Thriller,5,0.2
"'burbs, The",Forrest Gump,1,Tom Hanks,Comedy,3,0.333333
"Shawshank Redemption, The",Along Came a Spider,1,Morgan Freeman,Crime,3,0.333333
Steel Magnolias,Forrest Gump,1,Sally Field,Drama,3,0.333333
Toy Story,WALL·E,1,John Ratzenberger,Adventure|Animation|Children,5,0.2
"Goonies, The","Matrix, The",1,Joe Pantoliano,Action,3,0.333333
Pulp Fiction,"Jackal, The",1,Bruce Willis,Thriller,3,0.333333
"Shawshank Redemption, The",Fracture,1,Bob Gunton,Crime|Drama,4,0.25
Forrest Gump,"Legally Blonde 2: Red, White & Blonde",1,Sally Field,Comedy,3,0.333333
Forrest Gump,Lincoln,1,Sally Field,Drama|War,4,0.25
Forrest Gump,Charlie Wilson's War,1,Tom Hanks,Comedy|Drama|War,5,0.2
"Shawshank Redemption, The","Lincoln Lawyer, The",1,Bob Gunton,Crime|Drama,4,0.25
Turner & Hooch,Forrest Gump,1,Tom Hanks,Comedy,3,0.333333
"Lord of the Rings: The Return of the King, The",Eternal Sunshine of the Spotless Mind,1,Elijah Wood,Drama,3,0.333333
GoldenEye,"Lord of the Rings: The Fellowship of the Ring, The",1,Sean Bean,Adventure,3,0.333333
Pulp Fiction,Jumper,1,Samuel L. Jackson,Drama|Thriller,4,0.25
"Silence of the Lambs, The",Dracula (Bram Stoker's Dracula),1,Anthony Hopkins,Horror|Thriller,4,0.25
Fight Club,Snatch,1,Brad Pitt,Crime|Thriller,4,0.25
Toy Story,Toy Story 2,7,Tom Hanks|Tim Allen|Annie Potts|John Ratzenberger|Wallace Shawn|Jim Varney|Don Rickles,Adventure|Animation|Children|Comedy|Fantasy,19,0.052632
"Silence of the Lambs, The","Fast and the Furious, The",1,Ted Levine,Crime|Thriller,4,0.25
Die Hard,Twelve Monkeys (a.k.a. 12 Monkeys),1,Bruce Willis,Thriller,3,0.333333
Apocalypse Now,Star Wars: Episode V - The Empire Strikes Back,1,Harrison Ford,Action,3,0.333333
X-Men,"Lord of the Rings: The Two Towers, The",1,Ian McKellen,Adventure,3,0.333333
"Shawshank Redemption, The",Transcendence,1,Morgan Freeman,Drama,3,0.333333
Pulp Fiction,1408,1,Samuel L. Jackson,Drama|Thriller,4,0.25
Rosencrantz and Guildenstern Are Dead,Pulp Fiction,1,Tim Roth,Comedy|Drama,4,0.25
Forrest Gump,Eye for an Eye,1,Sally Field,Drama,3,0.333333
"Shawshank Redemption, The",Dreamcatcher,1,Morgan Freeman,Drama,3,0.333333
"Shawshank Redemption, The","Majestic, The",1,Jeffrey DeMunn,Drama,3,0.333333
Star Wars: Episode IV - A New Hope,Air Force One,1,Harrison Ford,Action,3,0.333333
"Shawshank Redemption, The",Antitrust,1,Tim Robbins,Crime|Drama,4,0.25
X-Men,"Lord of the Rings: The Return of the King, The",1,Ian McKellen,Action|Adventure,4,0.25
Tora! Tora! Tora!,"Shawshank Redemption, The",1,James Whitmore,Drama,3,0.333333
Pulp Fiction,Primary Colors,1,John Travolta,Comedy|Drama,4,0.25
Joe Versus the Volcano,Forrest Gump,1,Tom Hanks,Comedy|Romance,4,0.25
Pulp Fiction,"Civil Action, A",1,John Travolta,Drama,3,0.333333
Bachelor Party,Forrest Gump,1,Tom Hanks,Comedy,3,0.333333
Death Becomes Her,Pulp Fiction,1,Bruce Willis,Comedy,3,0.333333
Forrest Gump,Message in a Bottle,1,Robin Wright,Romance,3,0.333333
Look Who's Talking,Pulp Fiction,2,John Travolta|Bruce Willis,Comedy,5,0.2
Forrest Gump,Sully,1,Tom Hanks,Drama,3,0.333333
Nobody's Fool,Pulp Fiction,1,Bruce Willis,Comedy|Drama,4,0.25
"Silence of the Lambs, The",Hannibal,1,Anthony Hopkins,Horror|Thriller,4,0.25
"Shawshank Redemption, The",Invictus,1,Morgan Freeman,Drama,3,0.333333
"Shawshank Redemption, The",Hard Rain,2,Morgan Freeman|Mark Rolston,Crime,5,0.2
Pulp Fiction,Bolt,1,John Travolta,Comedy,3,0.333333
Menace II Society,Pulp Fiction,1,Samuel L. Jackson,Crime|Drama,4,0.25
"Usual Suspects, The",L.A. Confidential,1,Kevin Spacey,Crime|Mystery|Thriller,5,0.2
Forrest Gump,Saving Mr. Banks,1,Tom Hanks,Comedy|Drama,4,0.25
Lean on Me,"Shawshank Redemption, The",1,Morgan Freeman,Drama,3,0.333333
"Shawshank Redemption, The","Weather Man, The",1,Gil Bellows,Drama,3,0.333333
"Shawshank Redemption, The",Unleashed (Danny the Dog),1,Morgan Freeman,Crime|Drama,4,0.25
Forrest Gump,"Forgotten, The",1,Gary Sinise,Drama,3,0.333333
Pulp Fiction,Paycheck,1,Uma Thurman,Thriller,3,0.333333
Pulp Fiction,Over the Hedge,1,Bruce Willis,Comedy,3,0.333333
"Silence of the Lambs, The",Panic Room,1,Jodie Foster,Thriller,3,0.333333
Forrest Gump,State of Play,1,Robin Wright,Drama,3,0.333333
Smokey and the Bandit,Forrest Gump,1,Sally Field,Comedy,3,0.333333
Pulp Fiction,S.W.A.T.,1,Samuel L. Jackson,Thriller,3,0.333333
Soapdish,Forrest Gump,1,Sally Field,Comedy,3,0.333333
Jurassic Park,Star Wars: Episode III - Revenge of the Sith,1,Samuel L. Jackson,Action|Adventure|Sci-Fi,5,0.2
"Shawshank Redemption, The","Mod Squad, The",1,Larry Brandenburg,Crime,3,0.333333
"Shawshank Redemption, The",Saw V,1,Mark Rolston,Crime,3,0.333333
Pulp Fiction,Last Man Standing,1,Bruce Willis,Crime|Drama|Thriller,5,0.2
"Shawshank Redemption, The",August Rush,1,William Sadler,Drama,3,0.333333
Forrest Gump,Moll Flanders,1,Robin Wright,Drama,3,0.333333
"Shawshank Redemption, The",Moll Flanders,1,Morgan Freeman,Drama,3,0.333333
Places in the Heart,Forrest Gump,1,Sally Field,Drama,3,0.333333
Star Wars: Episode VI - Return of the Jedi,Clear and Present Danger,1,Harrison Ford,Action,3,0.333333
"Silence of the Lambs, The",Inside Man,1,Jodie Foster,Crime|Thriller,4,0.25
Pulp Fiction,"Other Guys, The",1,Samuel L. Jackson,Comedy,3,0.333333
Pulp Fiction,"Siege, The",1,Bruce Willis,Thriller,3,0.333333
Forrest Gump,"Crossing Guard, The",1,Robin Wright,Drama,3,0.333333
Pulp Fiction,Surrogates,1,Bruce Willis,Thriller,3,0.333333
Norma Rae,Forrest Gump,1,Sally Field,Drama,3,0.333333
"Cook the Thief His Wife & Her Lover, The",Pulp Fiction,1,Tim Roth,Comedy|Drama,4,0.25
Forrest Gump,White Oleander,1,Robin Wright,Drama,3,0.333333
"Asphalt Jungle, The","Shawshank Redemption, The",1,James Whitmore,Crime,3,0.333333
Bonfire of the Vanities,Forrest Gump,1,Tom Hanks,Comedy|Drama,4,0.25
Matewan,"Shawshank Redemption, The",1,Bob Gunton,Drama,3,0.333333
Bonfire of the Vanities,"Shawshank Redemption, The",1,Morgan Freeman,Crime|Drama,4,0.25
"Shawshank Redemption, The",Saw VI,1,Mark Rolston,Crime,3,0.333333
Pulp Fiction,Swimming with Sharks,1,Frank Whaley,Comedy|Drama,4,0.25
Forrest Gump,Open Season,1,Gary Sinise,Comedy,3,0.333333
Reservoir Dogs,Fargo,1,Steve Buscemi,Crime|Thriller,4,0.25
Forrest Gump,The Post,1,Tom Hanks,Drama,3,0.333333
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),Clear and Present Danger,1,Harrison Ford,Action,3,0.333333
Dracula (Bram Stoker's Dracula),"Matrix, The",1,Keanu Reeves,Thriller,3,0.333333
"Shawshank Redemption, The",The Ballad of Buster Scruggs,1,Clancy Brown,Drama,3,0.333333
Toy Story,Up,1,John Ratzenberger,Adventure|Animation|Children,5,0.2
Fargo,"Monsters, Inc.",1,Steve Buscemi,Comedy,3,0.333333
Seven (a.k.a. Se7en),Ocean's Eleven,1,Brad Pitt,Thriller,3,0.333333
Saturday Night Fever,Pulp Fiction,1,John Travolta,Comedy|Drama,4,0.25
"Shawshank Redemption, The",London Has Fallen,1,Morgan Freeman,Crime,3,0.333333
Murphy's Romance,Forrest Gump,1,Sally Field,Comedy|Romance,4,0.25
"Shawshank Redemption, The","Guardian, The",1,Clancy Brown,Drama,3,0.333333
